Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2017","17 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€198,237.87","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2017","13 THE STRAND, MARINA VILLAGE, GREYSTONES","Wicklow","","€484,581.49","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2017","132 ROSE HILL, WICKLOW","Wicklow","","€151,300.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2017","7 Sea Haven, Greenhill Road, Wicklow Town","Wicklow","","€237,003.73","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2017","KIA ORA, BOLEYNASS UPPER, ASHFORD","Wicklow","","€243,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","18 AVOCA WOOD, KILMAGIG, AVOCA","Wicklow","","€368,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","2 HERBERT VIEW, LOWER DARGLE ROAD, BRAY","Wicklow","","€212,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","3 OAKWOOD COURT, TINAHASK UPPER, ARKLOW","Wicklow","","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","36 WALTRIM GROVE, KILLARNEY RD, BRAY","Wicklow","","€251,101.32","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2017","5 TEMPLERAINEY HEIGHTS, ARKLOW, WICKLOW","Wicklow","","€208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","12 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€229,074.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2017","261 CHARLESLAND WOOD, GREYSTONES, WICKLOW","Wicklow","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","27 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€207,047.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2017","4 BROOMHALL CRESCENT, RATHNEW, WICKLOW","Wicklow","","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","11 FLORENCE TERRACE, FLORENCE RD, BRAY","Wicklow","","€890,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","128 RICHMOND PARK, HERBERT RD, BRAY","Wicklow","","€287,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","16 The Strand, Marina Village, Greystones","Wicklow","","€484,581.49","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"10/01/2017","18 MILLBROOK COURT, REDCROSS, WICKLOW","Wicklow","","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","21 WOODSIDE, RATHNEW, WICKLOW","Wicklow","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","CLOUGH LOWER, BALTINGLASS, CO WICKLOW","Wicklow","","€154,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","COOPERS OAK, TINNAPARK DR, KILPEDDER","Wicklow","","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","23 THE PINES, SEAROAD AVE, ARKLOW","Wicklow","","€246,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","8 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€264,317.17","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"11/01/2017","8 PARKNASILLA, VEVAY RD, BRAY","Wicklow","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","BALLYMONEEN, AVOCA, CO. WICKLOW","Wicklow","","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","CROBEG, DELGANY, CO WICKLOW","Wicklow","","€307,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","SRAGHMORE, ROUNDWOOD, WICKLOW","Wicklow","","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","10 PRIORY RISE, DELGANY WOOD, DELGANY","Wicklow","","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","3 BRAMBLE GLADE, ASHFORD, WICKLOW","Wicklow","","€490,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","30 HOLYWELL GROVE, SEA RD KILCOOLE, CO WICKLOW","Wicklow","","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","47 KNOCKENRAHAN, ARKLOW, WICKLOW","Wicklow","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","8 ORCHARD VIEW, DELGANY WOOD, DELGANY","Wicklow","","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","84 CHARLESLAND WOOD, GREYSTONES, WICKLOW","Wicklow","","€298,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","HAMBLYN, HAWKINS LANE, GREYSTONES","Wicklow","","€780,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2017","PEPPERMILL RESTAURANT, SEAFRONT BRAY, BRAY","Wicklow","","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2017","127 CHARLESLAND PARK, GREYSTONES, WICKLOW","Wicklow","","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2017","2CHARLESLAND GROVE, GREYSTONES, CO WICKLOW","Wicklow","","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2017","33 GARDEN VILLAGE AVE, KILPEDDER, CO WICKLOW","Wicklow","","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2017","78 ELGIN HEIGHTS, KILLARNEY RD, BRAY","Wicklow","","€357,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2017","MOUNT ALTO, ASHFORD, CO. WICKLOW","Wicklow","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2017","245 CHARLESLAND WOOD, GREYSTONES, WICKLOW","Wicklow","","€253,000.00","No","No","Second-Hand Dwelling house /Apartment",""
