Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2021","APT 15, SANDON COVE, CASTLE AVE DUBLIN 3","Dublin","D03RY60","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2021","APT 32, DANES COURT, CLONTARF RD DUBLIN 3","Dublin","D03W300","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2021","16 BURLEIGH COURT, BURLINGTON ROAD, DUBLIN 4","Dublin","","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","12 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, BALLYMUN","Dublin","","€192,951.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","17 Belltree Lane, Beltree, Clonggriffin","Dublin","","€343,612.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","27 Beresford Avenue, Donabate, County Dublin","Dublin","","€345,132.75","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","3 KILLOSSERY, ROWLESTOWN, DUBLIN","Dublin","","€378,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","3 WOODVIEW HOUSE, GLENALBYN RD, STILLORGAN","Dublin","","€252,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","43 ASHLAWN PARK, BALLYBRACK, COUNTY DUBLIN","Dublin","","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","7 NORTONS AVE, PHIBSBOROUGH, DUBLIN 7","Dublin","","€386,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","85 BELMAYNE PARK SOUTH, BALGRIFFIN, PARK SOUTH DUBLIN 13","Dublin","","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","93 BALLYFERMOT CRESCENT, DUBLIN 10, DUBLIN","Dublin","","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2021","10 MOUNTTOWN VILLAS, MOUNTTOWN LOWER, GLENAGEARY","Dublin","","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
