Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2021","14 Oak Park Square, Oak Park, Craddockstown","Kildare","","€290,748.88","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","6 Whitethorn Lawn, Whitethorn Village, Naas","Kildare","","€299,559.46","No","Yes","New Dwelling house /Apartment",""
"05/01/2021","16 CLEEVAUN, NAAS, KILDARE","Kildare","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2021","163 AYLMER PARK, NAAS, CO KILDARE","Kildare","","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2021","17 THE WAY, LEDWILL PARK, KILCOCK","Kildare","","€273,127.75","No","Yes","New Dwelling house /Apartment",""
"06/01/2021","48 The Way, Ledwill Park, Kilcock","Kildare","","€281,938.00","No","Yes","New Dwelling house /Apartment",""
"06/01/2021","75 Abboyyfield, Ballinagappa Road, Clane","Kildare","","€396,475.77","No","Yes","New Dwelling house /Apartment",""
"06/01/2021","No 23, The Way, Ledwill Park","Kildare","","€295,200.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2021","14 GLEANN BHEARU, COIS BHEARU, ATHY","Kildare","","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2021","19 ABBYGATE, MONASTEREVIN, KILDARE","Kildare","","€239,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2021","65 Oldbridge Park, OLDTOWN DOMAIN, OBERSTOWN","Kildare","","€317,137.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2021","7 THE GROVE, SALLINS PARK, SALLINS","Kildare","","€227,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2021","Birdies Nest Cottage, The Curragh","Kildare","","€70,000.00","No","No","New Dwelling house /Apartment",""
"07/01/2021","CLONSAST, RATHANGAN, KILDARE","Kildare","","€6,348.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","10 DUNFIERTH PARK, JOHNSTOWN BRIDGE, KILDARE","Kildare","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","10 MOYGLARE RISE, MAYNOOTH, CO KILDARE","Kildare","","€356,828.00","No","Yes","New Dwelling house /Apartment",""
"08/01/2021","11 THE GROVE, SALLINS PARK, SALLINS","Kildare","","€311,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","16 DUN CUILINN, CUT BUSH, THE CURRAGH","Kildare","","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","19 THE WALLED GARDENS, CASTLETOWN, CELBRIDGE","Kildare","","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","24 CHARTER HOUSE, MAYNOOTH, KILDARE","Kildare","","€162,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","34 THE HEATH, LIFFEY HALL, NEWBRIDGE","Kildare","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2021","55 THORNHILL HEIGHTS, CELBRIDGE, KILDARE","Kildare","W23E863","€314,000.00","No","No","Second-Hand Dwelling house /Apartment",""
