Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2021","19 EFFERNOCK MANOR, DUBLIN RD, TRIM","Meath","","€361,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","3 EMMET TERRACE, NAVAN, MEATH","Meath","","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","3 RACEHILL LODGE, RACE HILL, ASHBOURNE","Meath","","€535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","66 Willow Drive, The Willows, Old Dublin Road","Meath","","€288,986.78","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","RATHBRACK, KELLS, MEATH","Meath","","€465,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2021","10 LA MARE, ST AMULLEN, MEATH","Meath","","€227,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2021","55 MILLBOURNE DRIVE, SLANE ROAD, ASHBOURNE","Meath","","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2021","13 The View, Oldbridge Manor, Drogheda","Meath","","€246,696.00","No","Yes","New Dwelling house /Apartment",""
"06/01/2021","42, Seoid Na Tra, Bettystown","Meath","","€284,141.00","No","Yes","New Dwelling house /Apartment",""
"06/01/2021","9 DEAN COGAN PLACE, KELLS RD, NAVAN","Meath","","€231,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2021","JULIAN COTTAGE, CURRAGHTOWN, BROWNSTOWN","Meath","","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2021","ST MARY'S, LAYTOWN, CO MEATH","Meath","","€1,200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2021","16A ST JOHNS WOOD COURT, ASHBOURNE, MEATH","Meath","","€248,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2021","Apartment 10, Summerseat Avenue, Clonee","Meath","","€201,762.00","No","Yes","New Dwelling house /Apartment",""
"08/01/2021","1 Priestown Avenue, Kilbride","Meath","","€484,583.00","No","Yes","New Dwelling house /Apartment",""
"08/01/2021","12 THE PARK, RATHDALE, ENFIELD","Meath","","€276,500.00","No","No","Second-Hand Dwelling house /Apartment",""
